,CHỈ TIÊU,Q1 2016,Q2 2016,Q3 2016,Q2 2017
74,Phải trả khác,1185344065.0,1256869556.0,1269809931.0,759361288.0
75,Vay ngắn hạn,0.0,0.0,0.0,0.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",577187980.0,420625980.0,386325980.0,453647868.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
80,Nợ dài hạn,0.0,0.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,41374266934.0,40111190099.0,40502879575.0,41689596226.0
96,Vốn và các quỹ,41019224790.0,39767600926.0,40170743373.0,41391818937.0
97,Vốn góp,36000000000.0,36000000000.0,36000000000.0,36000000000.0
98,Cổ phiếu phổ thông,36000000000.0,36000000000.0,36000000000.0,36000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,900945819.0,900945819.0,900945819.0,1856319732.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,4118278971.0,2866655107.0,3269797554.0,3535499205.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,2499473908.0,1273908.0,1273908.0,48921758.0
112,LNST chưa phân phối kỳ này,1618805063.0,2865381199.0,3268523646.0,3486577447.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,355042144.0,343589173.0,332136202.0,297777289.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,355042144.0,343589173.0,332136202.0,297777289.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,47975583832.0,45002825409.0,47856238017.0,47818941726.0
