,CHỈ TIÊU,Q1 2011,Q2 2011,Q3 2011,Q1 2012,Q2 2015
64,NỢ PHẢI TRẢ,10132572215.0,15204992120.0,31693350010.0,16911996958.0,24476489555.0
65,Nợ ngắn hạn,10095185176.0,15167605081.0,31655962971.0,16391996958.0,24476489555.0
66,Phải trả người bán,3464990223.0,4470885236.0,16122663650.0,4027212069.0,4252599205.0
67,Người mua trả tiền trước,33943445.0,17202945.0,17332672.0,167220576.0,245598255.0
68,Thuế và các khoản phải trả Nhà nước,267210211.0,226644559.0,79020360.0,68295672.0,102187767.0
69,Phải trả người lao động,887400000.0,957339976.0,780033213.0,315381255.0,801716966.0
70,Chi phí phải trả,279070830.0,14821534.0,335658733.0,200261786.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,218755041.0,536895405.0,261617417.0,1114025600.0,2659483635.0
75,Vay ngắn hạn,4919600000.0,8919600000.0,14081924000.0,10499600000.0,16355000000.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",24215426.0,24215426.0,-22287074.0,0.0,59903727.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,37387039.0,37387039.0,37387039.0,520000000.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,520000000.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,37387039.0,37387039.0,37387039.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,24780529691.0,24097618006.0,24383286298.0,23358961383.0,24844591369.0
96,Vốn và các quỹ,24780529691.0,24097618006.0,24383286298.0,23358961383.0,24844591369.0
97,Vốn góp,22000000000.0,22000000000.0,22000000000.0,22000000000.0,22000000000.0
98,Cổ phiếu phổ thông,22000000000.0,22000000000.0,22000000000.0,22000000000.0,22000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,1554018569.0,1554018569.0,1554018569.0,1749587210.0,2294591369.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,294365189.0,294365189.0,294365189.0,344441121.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,932145933.0,249234248.0,534902540.0,-735066948.0,550000000.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,0.0,0.0,0.0
112,LNST chưa phân phối kỳ này,932145933.0,249234248.0,534902540.0,-735066948.0,550000000.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,34913101906.0,39302610126.0,56076636308.0,40270958341.0,49321080924.0
