,CHỈ TIÊU,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,35617663155.0,39566217878.0,43579128694.0,49456979429.0,56190501006.0
96,Vốn và các quỹ,35617663155.0,39566217878.0,43579128694.0,49456979429.0,56190501006.0
97,Vốn góp,20798000000.0,20798000000.0,20798000000.0,20798000000.0,20798000000.0
98,Cổ phiếu phổ thông,20798000000.0,20798000000.0,20798000000.0,20798000000.0,20798000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,-40000000.0,-87000000.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,12327718675.0,12323598766.0,12323598766.0,12323598766.0,12323598766.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,2491944480.0,6484619112.0,10544529928.0,16335380663.0,23068902240.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,2454865298.0,2454865298.0,2454865298.0,2454865298.0
112,LNST chưa phân phối kỳ này,2491944480.0,4029753814.0,8089664630.0,13880515365.0,20614036942.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,86265537732.0,96006610905.0,89060129592.0,94943917724.0,81666679666.0
