,CHỈ TIÊU,2018,2019,2021
95,VỐN CHỦ SỞ HỮU,40387762815.0,38698856022.0,48018755268.0
96,Vốn và các quỹ,40387762815.0,38698856022.0,48018755268.0
97,Vốn góp,30000000000.0,33000000000.0,33000000000.0
98,Cổ phiếu phổ thông,30000000000.0,33000000000.0,33000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,2371162314.0,0.0,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0
110,Lãi chưa phân phối,8016600501.0,5698856022.0,15018755268.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,4928167645.0,2459595170.0,8246386649.0
112,LNST chưa phân phối kỳ này,3088432856.0,3239260852.0,6772368619.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,72410481826.0,70511261843.0,92721331937.0
