,CHỈ TIÊU,Q3 2009,Q3 2015,Q2 2017
75,Vay ngắn hạn,20314469287.0,3000000000.0,26479163099.0
76,Dự phòng các khoản phải trả ngắn hạn,3907676847.0,5068327500.0,12067899010.0
77,"Quỹ khen thưởng, phúc lợi",0.0,277980922.0,1781891922.0
78,Quỹ bình ổn giá,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
80,Nợ dài hạn,1969590126.0,903600000.0,528600000.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,153600000.0,153600000.0
87,Phải trả dài hạn khác,0.0,0.0,0.0
88,Vay dài hạn,1908339734.0,750000000.0,375000000.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,61250392.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,33404155089.0,61104476495.0,64020622051.0
96,Vốn và các quỹ,32703927491.0,61104476495.0,64020622051.0
97,Vốn góp,23000000000.0,30507810000.0,30507810000.0
98,Cổ phiếu phổ thông,23000000000.0,30507810000.0,30507810000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,120000000.0,135908000.0,135908000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,1972124902.0,17258769220.0,22758769220.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,339582560.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0
110,Lãi chưa phân phối,7272220029.0,13201989275.0,10618134831.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,2891289076.0
112,LNST chưa phân phối kỳ này,7272220029.0,13201989275.0,7726845755.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,700227598.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",423010342.0,0.0,0.0
116,Vốn ngân sách nhà nước,277217256.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,87041297679.0,124777124326.0,143467194605.0
