,CHỈ TIÊU,Q2 2022,Q3 2022,Q4 2022
46,Bất động sản đầu tư,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,9000000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,9000000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0
58,Tài sản dài hạn khác,57537928.0,53069029.0,48453464.0
59,Trả trước dài hạn,57537928.0,53069029.0,48453464.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,40543955338.0,34151739317.0,34532707587.0
65,Nợ ngắn hạn,39571955338.0,34151739317.0,34532707587.0
66,Phải trả người bán,10694796324.0,3576351182.0,3176932389.0
67,Người mua trả tiền trước,820870036.0,384120879.0,1211492299.0
68,Thuế và các khoản phải trả Nhà nước,570288978.0,1315571656.0,927523579.0
69,Phải trả người lao động,0.0,0.0,0.0
70,Chi phí phải trả,0.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0
74,Phải trả khác,0.0,129195600.0,7046400.0
75,Vay ngắn hạn,27486000000.0,28746500000.0,29209712920.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
80,Nợ dài hạn,972000000.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0
88,Vay dài hạn,972000000.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,64908526293.0,65522811920.0,65924821676.0
96,Vốn và các quỹ,64908526293.0,65522811920.0,65924821676.0
97,Vốn góp,63153120000.0,63153120000.0,63153120000.0
98,Cổ phiếu phổ thông,63153120000.0,63153120000.0,63153120000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,-75600000.0,-75600000.0,-75600000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,187579443.0,187579443.0,187579443.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0
110,Lãi chưa phân phối,1643426850.0,2257712477.0,2659722233.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,151818578.0,151818578.0,151818578.0
112,LNST chưa phân phối kỳ này,1491608272.0,2105893899.0,2507903655.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,105452481631.0,99674551237.0,100457529263.0
