,Unnamed: 0,Q1 2013,Q2 2013,Q3 2013,Q1 2014,Q2 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015
15,( Tăng)/giảm chi phí trả trước,-631594946.0,-839774849.0,433806524.0,-3374213884.0,-369966861.0,-1346724734.0,728438266.0,555242852.0,998775466.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-371032801.0,-297431199.0,-481032117.0,-732113399.0,-285407764.0,-298850128.0,-466840728.0,-355947426.0,-405124825.0
18,Thuế thu nhập doanh nghiệp đã trả,-1416152499.0,0.0,0.0,-196985384.0,-44880000.0,-416215718.0,-200000000.0,-300000000.0,-354949147.0
19,Tiền thu khác từ các hoạt động kinh doanh,554194923.0,1496305077.0,550000000.0,231582605.0,1748417395.0,387450689.0,945749311.0,300000000.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-490122052.0,251172052.0,-1087435513.0,-491576410.0,-141838058.0,-915695807.0,-307187062.0,-498441948.0,230187687.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-1232398630.0,-5011278017.0,-10878013407.0,192822077.0,-4254281152.0,-1642114387.0,-2118934147.0,-6175142354.0,-36841119.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1255909090.0,-5265572727.0,-10880618182.0,0.0,-4350367727.0,-1644345455.0,-2295854545.0,-6405490908.0,-72500000.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,86363636.0,10428010.0,178140150.0,91828181.0,0.0,172727272.0,168181818.0,34386909.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,23510460.0,167931074.0,-7823235.0,14681927.0,4258394.0,2231068.0,4193126.0,62166736.0,1271972.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-10811924941.0,-785092453.0,12082214456.0,-12965871732.0,1606423736.0,-5790740164.0,17074054896.0,-19158158570.0,18334568791.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,120000000.0,489592811.0,12098407189.0,8500000.0,10913794785.0,346930213.0,18412022770.0,323272505.0,19117332413.0
33,Tiển trả các khoản đi vay,-10272968941.0,-42218064.0,-1543733.0,-12974371732.0,-8036656249.0,-6137670377.0,-217967874.0,-19481431075.0,-782763622.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-658956000.0,-1232467200.0,-14649000.0,0.0,-1270714800.0,0.0,-1120000000.0,0.0,0.0
36,Tiền lãi đã nhận,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,10787683096.0,-3890829538.0,-9627196547.0,-443648195.0,-110638734.0,1524490465.0,12272304716.0,-14156468813.0,156536730.0
38,Tiền và tương đương tiền đầu kỳ,5792268868.0,16579951964.0,12689122426.0,3259116050.0,2815467855.0,1310806087.0,2835296552.0,15107601268.0,951132455.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,16579951964.0,12689122426.0,3061925879.0,2815467855.0,2704829121.0,2835296552.0,15107601268.0,951132455.0,1107669185.0
