,CHỈ TIÊU,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,122093902102.0,110270781041.0,98523006322.0,86724953303.0,76894557404.0,65404173266.0,55442798762.0,68759837535.0,53680993517.0
59,Trả trước dài hạn,122093902102.0,110270781041.0,98523006322.0,86724953303.0,76894557404.0,65404173266.0,55442798762.0,65371279811.0,50952104660.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,1389855366048.0,1342179048744.0,1811485314163.0,2013668367213.0,2151425571047.0,2480814824291.0,3121457326425.0,3228365456843.0,3450586397869.0
65,Nợ ngắn hạn,1094357286981.0,994412978040.0,1234432905653.0,1207938073703.0,1273379109698.0,1180555479938.0,1595377490709.0,1614145458026.0,1768567348726.0
66,Phải trả người bán,394698737254.0,312701439912.0,430125139828.0,442450710051.0,553018016308.0,287127953817.0,356561708966.0,376459941466.0,380473634968.0
67,Người mua trả tiền trước,52637248388.0,51239697363.0,84972360402.0,68911245790.0,22487711309.0,30213339821.0,52196824007.0,59493147148.0,52314942893.0
68,Thuế và các khoản phải trả Nhà nước,13881214548.0,14865824749.0,7311294523.0,9173060532.0,6162081710.0,7525985329.0,8272179084.0,9651807799.0,12896925685.0
69,Phải trả người lao động,0.0,0.0,0.0,376553528.0,0.0,244877824.0,0.0,47912835.0,95825670.0
70,Chi phí phải trả,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,19001407786.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,17190564451.0,49296065239.0,14958830488.0,15586069402.0,47968653594.0,21010903147.0,135900530847.0,58377359107.0,19560612124.0
75,Vay ngắn hạn,615949522340.0,566297950777.0,697065280412.0,670278803840.0,642581016217.0,833573567250.0,1042035583055.0,1109919124921.0,1284027834850.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0,1161630560.0,1161630560.0,858852750.0,410664750.0,196164750.0,196164750.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,295498079067.0,347766070704.0,577052408510.0,805730293510.0,878046461349.0,1300259344353.0,1526079835716.0,1614219998817.0,1682019049143.0
81,Phải trả nhà cung cấp dài hạn,105541700929.0,104031053929.0,314184253929.0,375915853929.0,361265068644.0,361265068644.0,610471176144.0,610471176144.0,772644573474.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,410000000.0,410000000.0,53706700000.0,105469500000.0,12690000000.0,410000000.0,410000000.0,410000000.0,410000000.0
88,Vay dài hạn,189546378138.0,243325016775.0,209161454581.0,324344939581.0,504091392705.0,937840210307.0,914115704888.0,1002255867989.0,907853991737.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,744065402.0,1082954684.0,1082954684.0,1110483932.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,497732953695.0,472294470359.0,478404378833.0,483610125868.0,486472494916.0,887988935734.0,897368133948.0,902248287776.0,916006440501.0
96,Vốn và các quỹ,497732953695.0,472294470359.0,478404378833.0,483610125868.0,486472494916.0,887988935734.0,897368133948.0,902248287776.0,916006440501.0
97,Vốn góp,400000000000.0,400000000000.0,400000000000.0,400000000000.0,400000000000.0,800000000000.0,800000000000.0,800000000000.0,800000000000.0
98,Cổ phiếu phổ thông,400000000000.0,400000000000.0,400000000000.0,400000000000.0,400000000000.0,800000000000.0,800000000000.0,800000000000.0,800000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,97436182332.0,71994876888.0,78109434269.0,83326808447.0,86184466215.0,87736867405.0,97122828628.0,101863474988.0,115607886655.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,47417854712.0,70629118587.0,70629118587.0,70629118587.0,70629118587.0,94576858055.0,94576858055.0,94576858056.0,94576858055.0
112,LNST chưa phân phối kỳ này,50018327620.0,1365758301.0,7480315682.0,12697689860.0,15555347628.0,-6839990650.0,2545970573.0,7286616932.0,21031028600.0
113,Lợi ích cổ đông không kiểm soát,296771363.0,299593471.0,294944564.0,283317421.0,288028701.0,252068329.0,245305320.0,384812788.0,398553846.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,1887588319743.0,1814473519103.0,2289889692996.0,2497278493081.0,2637898065963.0,3368803760025.0,4018825460373.0,4130613744619.0,4366592838370.0
