,CHỈ TIÊU,Q1 2012,Q2 2012
98,Cổ phiếu phổ thông,4417106730000.0,11000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0
100,Thặng dư vốn cổ phần,355104902000.0,1624190000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0
102,Vốn khác,3028569232.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0
105,Chênh lệch tỷ giá,-267316890591.0,6230184.0
106,Quỹ đầu tư và phát triển,484080157240.0,3300852288.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0
108,Quỹ dự phòng tài chính,100402513323.0,570725844.0
109,Quỹ khác,3064429888.0,0.0
110,Lãi chưa phân phối,-524958251642.0,572362306.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0
112,LNST chưa phân phối kỳ này,-524958251642.0,572362306.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,393110346206.0,158814891.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0
116,Vốn ngân sách nhà nước,393110346206.0,158814891.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0
118,Lợi ích của cổ đông thiểu số,1876333293370.0,3018707814.0
119,TỔNG CỘNG NGUỒN VỐN,30139617975394.0,116615093815.0
