,CHỈ TIÊU,Q3 2016,Q4 2016
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0
58,Tài sản dài hạn khác,35807489929.0,37664327153.0
59,Trả trước dài hạn,34001860928.0,36290309292.0
60,Thuế thu nhập hoãn lại phải thu,1805629001.0,1374017861.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0
63,Lợi thế thương mại,0.0,0.0
64,NỢ PHẢI TRẢ,51774398818.0,44443511466.0
65,Nợ ngắn hạn,40284844818.0,28887940466.0
66,Phải trả người bán,7953221254.0,11175177280.0
67,Người mua trả tiền trước,402531760.0,399664466.0
68,Thuế và các khoản phải trả Nhà nước,7017852526.0,4074426414.0
69,Phải trả người lao động,3918352805.0,4360309049.0
70,Chi phí phải trả,20254007413.0,8107458013.0
71,Phải trả nội bộ,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0
74,Phải trả khác,209679060.0,241705244.0
75,Vay ngắn hạn,0.0,0.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",529200000.0,529200000.0
78,Quỹ bình ổn giá,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0
80,Nợ dài hạn,11489554000.0,15555571000.0
81,Phải trả nhà cung cấp dài hạn,9358470000.0,6238980000.0
82,Người mua trả tiền trước dài hạn,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0
87,Phải trả dài hạn khác,2131084000.0,2068458000.0
88,Vay dài hạn,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,7248133000.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0
95,VỐN CHỦ SỞ HỮU,111770891246.0,112956373015.0
96,Vốn và các quỹ,111770891246.0,112956373015.0
97,Vốn góp,80000000000.0,80000000000.0
98,Cổ phiếu phổ thông,80000000000.0,80000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0
100,Thặng dư vốn cổ phần,176083000.0,176083000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0
102,Vốn khác,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,0.0
109,Quỹ khác,0.0,0.0
110,Lãi chưa phân phối,31594808246.0,32780290015.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,33300759.0,33300760.0
112,LNST chưa phân phối kỳ này,31561507487.0,32746989255.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,163545290064.0,157399884481.0
