,CHỈ TIÊU,Q1 2009,Q2 2009,Q2 2013,Q1 2022,Q2 2022,Q3 2022,Q4 2022
23,Thuế VAT phải thu,0.0,0.0,809168871.0,1264754216.0,258783997.0,0.0,1310793516.0
24,Phải thu thuế khác,0.0,0.0,15449998.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,0.0,0.0,152429000.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,0.0,0.0,28524287774.0,252457743981.0,782736432184.0,791275433036.0,807275944647.0
28,Phải thu dài hạn,0.0,0.0,0.0,3433227614.0,3433227614.0,3433227614.0,3433227614.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,3433227614.0,3433227614.0,3433227614.0,3433227614.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,0.0,0.0,26470503691.0,86073308763.0,46056752391.0,44698634179.0,73932220743.0
37,GTCL TSCĐ hữu hình,0.0,0.0,25810650152.0,46264125287.0,46039280140.0,44686943177.0,73926310990.0
38,Nguyên giá TSCĐ hữu hình,0.0,0.0,63563832410.0,90275111085.0,91498987904.0,91613987904.0,116693005768.0
39,Khấu hao lũy kế TSCĐ hữu hình,0.0,0.0,-37753182258.0,-44010985798.0,-45459707764.0,-46927044727.0,-42766694778.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,0.0,569697819.0,39809183476.0,17472251.0,11691002.0,5909753.0
44,Nguyên giá TSCĐ vô hình,0.0,0.0,2822181901.0,44113002004.0,185000000.0,185000000.0,185000000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,0.0,-2252484082.0,-4303818528.0,-167527749.0,-173308998.0,-179090247.0
46,Bất động sản đầu tư,0.0,0.0,0.0,8583892372.0,8583892372.0,8583892372.0,8583892372.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,8583892372.0,8583892372.0,8583892372.0,8583892372.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,11522200000.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,90155720.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,145700000000.0,697500000000.0,697500000000.0,697500000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,145700000000.0,697500000000.0,697500000000.0,697500000000.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,0.0,2053784083.0,8667315232.0,27162559807.0,25537478871.0,23826603918.0
59,Trả trước dài hạn,0.0,0.0,10211683.0,8667315232.0,27162559807.0,25537478871.0,23826603918.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,2043572400.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,0.0,0.0,24734802131.0,62909479815.0,151570435539.0,139772459837.0,142365111474.0
65,Nợ ngắn hạn,0.0,0.0,24734802131.0,32074214888.0,144881671612.0,133520195910.0,119677383860.0
66,Phải trả người bán,0.0,0.0,12649823930.0,14120396602.0,24825599419.0,38467871072.0,17561303384.0
67,Người mua trả tiền trước,0.0,0.0,99124056.0,1843954730.0,92249494970.0,68849456177.0,72420516652.0
68,Thuế và các khoản phải trả Nhà nước,0.0,0.0,417456853.0,2954090340.0,2759178355.0,4420669991.0,4804363900.0
69,Phải trả người lao động,0.0,0.0,736564107.0,682195310.0,800951820.0,810583816.0,950499144.0
70,Chi phí phải trả,0.0,0.0,2078362649.0,766267965.0,626809153.0,816503263.0,3394489192.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Phải trả khác,0.0,0.0,8753470536.0,372339620.0,828656397.0,899142275.0,297595759.0
75,Vay ngắn hạn,0.0,0.0,0.0,10876453662.0,21730082835.0,18195070653.0,19187717166.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0,458516659.0,1060898663.0,1060898663.0,1060898663.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,0.0,0.0,0.0,30835264927.0,6688763927.0,6252263927.0,22687727614.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,21964001000.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,5860000000.0,3677500000.0,3241000000.0,19254500000.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,3011263927.0,3011263927.0,3011263927.0,3433227614.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,0.0,0.0,61405428285.0,346853024447.0,1097239466780.0,1107318550564.0,1116313285188.0
96,Vốn và các quỹ,0.0,0.0,61405428285.0,346853024447.0,1097239466780.0,1107318550564.0,1116313285188.0
97,Vốn góp,0.0,0.0,60000000000.0,300000000000.0,1049999780000.0,1049999780000.0,1049999780000.0
98,Cổ phiếu phổ thông,0.0,0.0,60000000000.0,300000000000.0,1049999780000.0,1049999780000.0,1049999780000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,-164500000.0,-1370600000.0,-1370600000.0,-1370600000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,0.0,1302923801.0,11018991974.0,12926344094.0,12926344094.0,12926344094.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,0.0,1061606554.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,0.0,0.0,-959102070.0,35998532473.0,35683942686.0,45763026470.0,54757761094.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,0.0,31744607018.0,28311373202.0,28311373202.0,28311373202.0
112,LNST chưa phân phối kỳ này,0.0,0.0,-959102070.0,4253925455.0,7372569484.0,17451653268.0,26446387892.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,5770260211.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,0.0,0.0,91910490627.0,409762504262.0,1248809902319.0,1247091010401.0,1258678396662.0
