,CHỈ TIÊU,Q2 2012,Q2 2013,Q3 2013
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,279856740526.0,337909268415.0,364520863283.0
65,Nợ ngắn hạn,218466272269.0,248574092011.0,257262968466.0
66,Phải trả người bán,30484511527.0,30490388262.0,33671356036.0
67,Người mua trả tiền trước,543731176.0,3380101684.0,526954798.0
68,Thuế và các khoản phải trả Nhà nước,1253285078.0,5959124530.0,9102896968.0
69,Phải trả người lao động,32090997820.0,36970860183.0,54514226776.0
70,Chi phí phải trả,6585130795.0,10429357614.0,11497950040.0
71,Phải trả nội bộ,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0
74,Phải trả khác,18606809420.0,17705532048.0,17592321941.0
75,Vay ngắn hạn,128030035264.0,142490235266.0,129265249483.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",871771189.0,1148492424.0,1092012424.0
78,Quỹ bình ổn giá,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
80,Nợ dài hạn,61390468257.0,89335176404.0,107257894817.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0
87,Phải trả dài hạn khác,206580000.0,0.0,0.0
88,Vay dài hạn,59289473821.0,89333372702.0,107151585740.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,1894414436.0,1803702.0,106309077.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,64876143190.0,93364807783.0,102727070355.0
96,Vốn và các quỹ,64876143190.0,93364807783.0,102727070355.0
97,Vốn góp,49995570000.0,49995570000.0,49995570000.0
98,Cổ phiếu phổ thông,49995570000.0,49995570000.0,49995570000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,2197426367.0,16519240061.0,16519240061.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,5102856954.0,7937877780.0,7937877780.0
109,Quỹ khác,0.0,0.0,0.0
110,Lãi chưa phân phối,7580289869.0,18912119942.0,28274382514.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,0.0
112,LNST chưa phân phối kỳ này,7580289869.0,18912119942.0,28274382514.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,344732883716.0,431274076198.0,467247933638.0
