,CHỈ TIÊU,2019,2020,2021,2022
34,Phải thu dài hạn khác,500000000.0,55000000000.0,655550000000.0,737750610904.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0
36,Tài sản cố định,3574894373.0,1070305048747.0,1015869915044.0,32342793043.0
37,GTCL TSCĐ hữu hình,3574894373.0,1062042041170.0,1007632836197.0,24110742196.0
38,Nguyên giá TSCĐ hữu hình,4790699282.0,1642657091110.0,1467130554690.0,304200629749.0
39,Khấu hao lũy kế TSCĐ hữu hình,-1215804909.0,-580615049940.0,-459497718493.0,-280089887553.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,8263007577.0,8237078847.0,8232050847.0
44,Nguyên giá TSCĐ vô hình,0.0,9401460000.0,9401460000.0,9401460000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,-1138452423.0,-1164381153.0,-1169409153.0
46,Bất động sản đầu tư,0.0,105495281990.0,105495281990.0,105495281990.0
47,Nguyên giá tài sản đầu tư,0.0,105495281990.0,105495281990.0,105495281990.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,338414724768.0,279095419310.0,242912208668.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,637524187453.0,238611335161.0,839821350893.0,1788968279304.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,30830357701.0,558870000000.0,1258968279304.0
55,Đầu tư dài hạn khác,649082660000.0,213613600000.0,266430000000.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,-11558472547.0,-5832622540.0,-5478649107.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,20000000000.0,530000000000.0
58,Tài sản dài hạn khác,28618702569.0,5578340766051.0,5247304966939.0,3115295530694.0
59,Trả trước dài hạn,28618702569.0,3449737154429.0,3339972535327.0,1525901600304.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,246307090995.0,8105480257534.0,4869453612159.0,2335856051194.0
65,Nợ ngắn hạn,194528304504.0,5329268666759.0,3586001877408.0,1981212366996.0
66,Phải trả người bán,129897877620.0,594622477237.0,634031883279.0,630807748590.0
67,Người mua trả tiền trước,22500000000.0,113862805561.0,257321783314.0,202031124915.0
68,Thuế và các khoản phải trả Nhà nước,15530841533.0,418399680110.0,68000155525.0,162299570642.0
69,Phải trả người lao động,538817498.0,9483291804.0,9951257728.0,5435020925.0
70,Chi phí phải trả,26482192.0,53655616473.0,41436445953.0,7660685370.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,7750089562.0,15492261777.0,148313077162.0,83597453676.0
74,Phải trả khác,384196099.0,3018236951202.0,762942501699.0,4069347363.0
75,Vay ngắn hạn,17900000000.0,1105515376762.0,1664004566915.0,885311209682.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,205833.0,205833.0,205833.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
80,Nợ dài hạn,51778786491.0,2776211590775.0,1283451734751.0,354643684198.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,249516888565.0,135673469619.0,40134143606.0
87,Phải trả dài hạn khác,5778786491.0,7818291458.0,17831184109.0,14187326904.0
88,Vay dài hạn,46000000000.0,2056693495596.0,632475495596.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,462182915156.0,497471585427.0,300322213688.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,604193412850.0,2344974772329.0,5671771597669.0,5939139056455.0
96,Vốn và các quỹ,604193412850.0,2344974772329.0,5671771597669.0,5939139056455.0
97,Vốn góp,539000000000.0,539000000000.0,3500000000000.0,3500000000000.0
98,Cổ phiếu phổ thông,539000000000.0,539000000000.0,3500000000000.0,3500000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,-248500000.0,-248500000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,0.0,0.0,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,65193412850.0,976352095568.0,1292832461158.0,1536812370305.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,17647033345.0,65193412850.0,886925762530.0,1292870461158.0
112,LNST chưa phân phối kỳ này,47546379505.0,911158682718.0,405906698628.0,243941909147.0
113,Lợi ích cổ đông không kiểm soát,0.0,829622676761.0,879187636511.0,902575186150.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,850500503845.0,10450455029863.0,10541225209828.0,8274995107649.0
