,CHỈ TIÊU,Q2 2012,Q2 2013,Q2 2015
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0
80,Nợ dài hạn,7589888511.0,458645250.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0
88,Vay dài hạn,3626000000.0,404000000.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,54645250.0,0.0
92,Dự phòng trợ cấp thôi việc,3963888511.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,408351465421.0,513453941611.0,135608891503.0
96,Vốn và các quỹ,407915572121.0,512879320811.0,135608891503.0
97,Vốn góp,123398240000.0,123398240000.0,94703570000.0
98,Cổ phiếu phổ thông,123398240000.0,123398240000.0,94703570000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,92063700000.0,92063700000.0,-92500000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0
103,Cổ phiếu Quỹ,-3593000.0,-3593000.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,179264.0,0.0
106,Quỹ đầu tư và phát triển,134358775758.0,216576135689.0,26180350703.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,14538443422.0,15284522205.0,0.0
109,Quỹ khác,0.0,0.0,0.0
110,Lãi chưa phân phối,43560005941.0,65560136653.0,14817470800.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,0.0
112,LNST chưa phân phối kỳ này,43560005941.0,65560136653.0,14817470800.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,435893300.0,574620800.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0
116,Vốn ngân sách nhà nước,435893300.0,574620800.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,46295554029.0,68257825338.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,896790898135.0,1062683553523.0,179705668226.0
