,CHỈ TIÊU,Q2 2014,Q1 2015,Q2 2016,Q2 2018
64,NỢ PHẢI TRẢ,21313751683.0,15146243755.0,16572081531.0,24824961017.0
65,Nợ ngắn hạn,21253751683.0,15146243755.0,14598646287.0,24584961017.0
66,Phải trả người bán,422962156.0,2497497565.0,0.0,0.0
67,Người mua trả tiền trước,160738984.0,174077137.0,0.0,0.0
68,Thuế và các khoản phải trả Nhà nước,65192480.0,76832858.0,0.0,0.0
69,Phải trả người lao động,1187262094.0,3977577883.0,0.0,0.0
70,Chi phí phải trả,3977180693.0,2893743595.0,0.0,0.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0
74,Phải trả khác,237187276.0,1245514717.0,14598646287.0,0.0
75,Vay ngắn hạn,15203228000.0,4281000000.0,0.0,0.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
80,Nợ dài hạn,60000000.0,0.0,1973435244.0,240000000.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,60000000.0,0.0,1973435244.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,37464999855.0,42171937766.0,64500937901.0,76719606528.0
96,Vốn và các quỹ,37464999855.0,42171937766.0,64500937901.0,76719606528.0
97,Vốn góp,27682210000.0,27682210000.0,27682210000.0,27682210000.0
98,Cổ phiếu phổ thông,27682210000.0,27682210000.0,27682210000.0,27682210000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,3739082602.0,3739082602.0,3739082602.0,3739082602.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,-515226000.0,-515226000.0,-515226000.0,-515226000.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,1081393353.0,1081393353.0,8254374660.0,8254374660.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,7172981307.0,7172981307.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,-1695441407.0,3011496504.0,25340496639.0,37559165266.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,0.0,0.0
112,LNST chưa phân phối kỳ này,-1695441407.0,3011496504.0,25340496639.0,0.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,58778751538.0,57318181521.0,81073019432.0,101544567545.0
