,CHỈ TIÊU,Q1 2010,Q2 2010,Q1 2011,Q2 2011,Q2 2012,Q2 2015,Q2 2016
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,120769026.0,250829384.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,120769026.0,250829384.0
51,Xây dựng cơ bản dở dang,120769026.0,120769026.0,120769026.0,120769026.0,120769026.0,0.0,0.0
52,Đầu tư dài hạn,11920600000.0,11920600000.0,11920600000.0,11920600000.0,11920600000.0,6106940941.0,6106940941.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,11920600000.0,11920600000.0,11920600000.0,11920600000.0,11920600000.0,11920600000.0,11920600000.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,-5813659059.0,-5813659059.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,129297943.0,276749577.0,696291110.0,597206881.0,764774777.0,802318462.0,1078784469.0
59,Trả trước dài hạn,129297943.0,276749577.0,696291110.0,587206881.0,754774777.0,802318462.0,1078784469.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,10000000.0,10000000.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,203113129979.0,168596822047.0,94886909755.0,151447796247.0,151110384654.0,349355198235.0,176888807707.0
65,Nợ ngắn hạn,202342538849.0,167826230917.0,94597818819.0,151158705311.0,148818216788.0,349355198235.0,176888807707.0
66,Phải trả người bán,51813807196.0,61739400833.0,59639368860.0,47302844001.0,50198986871.0,164965387506.0,33501020901.0
67,Người mua trả tiền trước,9103363328.0,2560053962.0,1260497298.0,963124979.0,12890640649.0,7268610187.0,5987627945.0
68,Thuế và các khoản phải trả Nhà nước,1770296541.0,472156243.0,1189263959.0,1843136454.0,4453531258.0,9663711914.0,160512113.0
69,Phải trả người lao động,1845195626.0,1475416495.0,4079535949.0,4645287459.0,6713799812.0,2135768521.0,4461693212.0
70,Chi phí phải trả,385740609.0,296851226.0,183024909.0,195500000.0,191851226.0,3196777624.0,397757058.0
71,Phải trả nội bộ,621016618.0,617051542.0,1327064.0,95178290.0,81345000.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0,0.0,129272724.0,214090908.0
74,Phải trả khác,2187126332.0,1824330723.0,1852464616.0,3375365078.0,2235213022.0,3209332731.0,3173503848.0
75,Vay ngắn hạn,134615992599.0,98303773211.0,25940767482.0,92318250368.0,71576841531.0,158681888511.0,128942753205.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,537196682.0,451568682.0,420018682.0,476007419.0,104448517.0,49848517.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,770591130.0,770591130.0,289090936.0,289090936.0,2292167866.0,0.0,0.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,600000000.0,600000000.0,289090936.0,289090936.0,1390965480.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,901202386.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,170591130.0,170591130.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,77652376990.0,77808847160.0,95243954113.0,100114138891.0,97513884363.0,69887894898.0,79348928812.0
96,Vốn và các quỹ,77106630308.0,77808847160.0,95243954113.0,100114138891.0,97513884363.0,69887894898.0,79348928812.0
97,Vốn góp,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0
98,Cổ phiếu phổ thông,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,3119675394.0,3119675394.0,3119675394.0,3119675394.0,3119675394.0,3599851779.0,3599851779.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,510407000.0,510407000.0,510407000.0,510407000.0,507126689.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,-16523452086.0,-15821235234.0,1613871719.0,6484056497.0,3887082280.0,-23711956881.0,-14250922967.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,0.0,0.0,0.0,-26790778997.0,-21083618385.0
112,LNST chưa phân phối kỳ này,-16523452086.0,-15821235234.0,1613871719.0,6484056497.0,3887082280.0,3078822116.0,6832695418.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,545746682.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",545746682.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,280765506969.0,246405669207.0,190130863868.0,251561935138.0,248624269017.0,419243093133.0,256237736519.0
