,CHỈ TIÊU,Q3 2010,Q1 2015,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q2 2018,Q3 2018,Q4 2018
16,Dự phòng nợ khó đòi,0.0,-3447780776.0,-9547169095.0,-9847169095.0,-10147169095.0,-10476194605.0,-10476194605.0,-10476194605.0,-10476194605.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",39122214058.0,26568319213.0,64179065509.0,53707618441.0,50086561775.0,45878558883.0,46452415051.0,65735517097.0,73725902753.0
19,Hàng tồn kho,39122214058.0,27934545044.0,65648059729.0,55176612661.0,51555555995.0,47288346854.0,47862203022.0,67145305068.0,75122100536.0
20,Dự phòng giảm giá HTK,0.0,-1366225831.0,-1468994220.0,-1468994220.0,-1468994220.0,-1409787971.0,-1409787971.0,-1409787971.0,-1396197783.0
21,Tài sản lưu động khác,1018936692.0,2211215673.0,1066308084.0,443145883.0,496414482.0,986404198.0,822546996.0,2292121963.0,2227844239.0
22,Trả trước ngắn hạn,0.0,216900304.0,14024433.0,439219548.0,492488147.0,537644774.0,818620661.0,687684091.0,644428441.0
23,Thuế VAT phải thu,0.0,145818977.0,969862132.0,0.0,0.0,444833089.0,0.0,1600511537.0,1579489463.0
24,Phải thu thuế khác,0.0,88846335.0,82421519.0,3926335.0,3926335.0,3926335.0,3926335.0,3926335.0,3926335.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,1018936692.0,1759650057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,66168694587.0,41007758815.0,31013725491.0,29543407872.0,27714853896.0,26744357253.0,24643283324.0,24431502441.0,23391262542.0
28,Phải thu dài hạn,0.0,0.0,16500000.0,15500000.0,13500000.0,12000000.0,9000000.0,7500000.0,6000000.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,16500000.0,15500000.0,13500000.0,12000000.0,9000000.0,7500000.0,6000000.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,66168694587.0,40836166638.0,30921535973.0,29463905853.0,27649039376.0,26691730232.0,24370496367.0,24090025067.0,22744102589.0
37,GTCL TSCĐ hữu hình,59583959454.0,35022121926.0,25374942053.0,23965465503.0,22198752596.0,21289597027.0,19064670302.0,18832352572.0,17534583664.0
38,Nguyên giá TSCĐ hữu hình,59583959454.0,133049307127.0,134493743822.0,134493743822.0,134137246822.0,134206274095.0,134206274095.0,135150046926.0,135150046926.0
39,Khấu hao lũy kế TSCĐ hữu hình,0.0,-98027185201.0,-109118801769.0,-110528278319.0,-111938494226.0,-112916677068.0,-115141603793.0,-116317694354.0,-117615463262.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,6584735133.0,5814044712.0,5546593920.0,5498440350.0,5450286780.0,5402133205.0,5305826065.0,5257672495.0,5209518925.0
44,Nguyên giá TSCĐ vô hình,6584735133.0,6876452379.0,6956452379.0,6956452379.0,6956452379.0,6956452379.0,6956452379.0,6956452379.0,6956452379.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,-1062407667.0,-1409858459.0,-1458012029.0,-1506165599.0,-1554319174.0,-1650626314.0,-1698779884.0,-1746933454.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Xây dựng cơ bản dở dang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Tài sản dài hạn khác,0.0,171592177.0,75689518.0,64002019.0,52314520.0,40627021.0,263786957.0,333977374.0,641159953.0
59,Trả trước dài hạn,0.0,171592177.0,75689518.0,64002019.0,52314520.0,40627021.0,263786957.0,333977374.0,641159953.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,33521785517.0,37271378269.0,97480289283.0,89101560312.0,64974378184.0,89765890870.0,84730993035.0,114597289091.0,109822750361.0
65,Nợ ngắn hạn,25444584026.0,37271378269.0,97100289283.0,88221560312.0,64094378184.0,89265890870.0,84230993035.0,114097289091.0,109322750361.0
66,Phải trả người bán,0.0,21074572108.0,36510004983.0,26018449497.0,17074270924.0,21248201990.0,32384365412.0,51463646624.0,38871752887.0
67,Người mua trả tiền trước,0.0,263426550.0,310698040.0,32734990.0,111145811.0,334327490.0,559883538.0,475160200.0,1232765100.0
68,Thuế và các khoản phải trả Nhà nước,0.0,121348004.0,0.0,201323017.0,612518241.0,0.0,178934857.0,0.0,0.0
69,Phải trả người lao động,0.0,821226229.0,1608429599.0,1703989566.0,2888999498.0,3074241648.0,1512704695.0,2089423649.0,2304128462.0
70,Chi phí phải trả,0.0,0.0,0.0,0.0,0.0,157535413.0,83732006.0,125598009.0,300017927.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,225950000.0,245750000.0,41517500.0,425512500.0,425512500.0,396637500.0,378524625.0
74,Phải trả khác,0.0,2765467915.0,2171117056.0,2150225821.0,2650230522.0,8038563635.0,14834536842.0,6776994662.0,6655365608.0
75,Vay ngắn hạn,25444584026.0,12152550836.0,56212602978.0,57807600794.0,40112359061.0,54784171567.0,33598186558.0,52726341820.0,59537109125.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,550000000.0,1150000000.0,600000000.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,72786627.0,61486627.0,61486627.0,53336627.0,53336627.0,53136627.0,43486627.0,43086627.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,8077201491.0,0.0,380000000.0,880000000.0,880000000.0,500000000.0,500000000.0,500000000.0,500000000.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,8077201491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,380000000.0,880000000.0,880000000.0,500000000.0,500000000.0,500000000.0,500000000.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,112375213751.0,72355983170.0,75816257950.0,76644686608.0,77445143497.0,78156138385.0,79456056596.0,78342439928.0,79258936531.0
96,Vốn và các quỹ,112375213751.0,72355983170.0,75816257950.0,76644686608.0,77445143497.0,78156138385.0,79456056596.0,78342439928.0,79258936531.0
97,Vốn góp,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0
98,Cổ phiếu phổ thông,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,24000000000.0,24000000000.0,24000000000.0,24000000000.0,24000000000.0,24000000000.0,24000000000.0,24000000000.0,24000000000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,5902426198.0,5902426198.0,5902426198.0,5902426198.0,5902426198.0,5902426198.0,5902426198.0,5902426198.0,5902426198.0
103,Cổ phiếu Quỹ,-888000000.0,-888000000.0,-888000000.0,-888000000.0,-888000000.0,-888000000.0,-888000000.0,-888000000.0,-888000000.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,44653843558.0,47792636449.0,47792636449.0,47792636449.0,0.0,0.0,0.0,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,3138792891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,47792636449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,-14431848896.0,-54451079477.0,-50990804697.0,-50162376039.0,-49361919150.0,-858287813.0,441630398.0,-671986270.0,244510333.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,-51712673385.0,-51712673385.0,-51712673385.0,-3920036936.0,-858287813.0,-858287813.0,-858287813.0
112,LNST chưa phân phối kỳ này,-14431848896.0,-54451079477.0,721868688.0,1550297346.0,2350754235.0,3061749123.0,1299918211.0,186301543.0,1102798146.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,145896999268.0,109627361439.0,173296547233.0,165746246920.0,142419521681.0,167922029255.0,164187049631.0,192939729019.0,189081686892.0
