,CHỈ TIÊU,Q1 2018,Q2 2018,Q4 2018,Q1 2019,Q1 2022,Q2 2022,Q3 2022,Q4 2022
64,NỢ PHẢI TRẢ,5574700947.0,2559905128.0,2773077757.0,4015611878.0,43780621047.0,44833360982.0,68090928417.0,168844776260.0
65,Nợ ngắn hạn,3201893329.0,202944683.0,353822270.0,1596356391.0,42992121046.0,44252360980.0,67385428414.0,168180776256.0
66,Phải trả người bán,1681204630.0,35200000.0,70400000.0,110400000.0,6610643621.0,2107747510.0,18735795211.0,37904538337.0
67,Người mua trả tiền trước,0.0,0.0,14167144.0,0.0,33834465610.0,33848804294.0,30683125941.0,14072465610.0
68,Thuế và các khoản phải trả Nhà nước,244431437.0,85087758.0,115770755.0,363395372.0,2520449633.0,1026849066.0,1531761324.0,1831590685.0
69,Phải trả người lao động,0.0,0.0,0.0,0.0,22857200.0,23936833.0,24334646.0,23745338.0
70,Chi phí phải trả,0.0,0.0,72727273.0,0.0,0.0,1768895826.0,11100175795.0,11598240543.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,1276257262.0,82656925.0,80757098.0,1122561019.0,0.0,0.0,0.0,0.0
74,Phải trả khác,0.0,0.0,0.0,0.0,3704982.0,2005280125.0,2005388171.0,2000483414.0
75,Vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,3470847326.0,3304847326.0,100749712329.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Nợ dài hạn,2372807618.0,2356960445.0,2419255487.0,2419255487.0,788500001.0,581000002.0,705500003.0,664000004.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,2372807618.0,2356960445.0,2419255487.0,2419255487.0,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,0.0,0.0,0.0,788500001.0,581000002.0,705500003.0,664000004.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Dự phòng trợ cấp thôi việc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,114570062254.0,114665854469.0,115297646239.0,115841512037.0,129576226621.0,132210207921.0,134675293326.0,135676937531.0
96,Vốn và các quỹ,114570062254.0,114665854469.0,115297646239.0,115841512037.0,129576226621.0,132210207921.0,134675293326.0,135676937531.0
97,Vốn góp,111000000000.0,111000000000.0,111000000000.0,111000000000.0,120977540000.0,120977540000.0,120977540000.0,120977540000.0
98,Cổ phiếu phổ thông,111000000000.0,111000000000.0,111000000000.0,111000000000.0,120977540000.0,120977540000.0,120977540000.0,120977540000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Quỹ dự phòng tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,3570062254.0,3665854469.0,4297646239.0,4841512037.0,8598686621.0,11232667921.0,13697753326.0,14699397531.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,3104837819.0,3104837819.0,3104837819.0,4297646239.0,7588173558.0,7588173558.0,7588173558.0,7588173558.0
112,LNST chưa phân phối kỳ này,465224435.0,561016650.0,1192808420.0,543865798.0,1010513063.0,3644494363.0,6109579768.0,7111223973.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,120144763201.0,117225759597.0,118070723996.0,119857123915.0,173356847668.0,177043568903.0,202766221743.0,304521713791.0
