,CHỈ TIÊU,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
91,Thuế thu nhập hoãn lại phải trả,3098627679.0,2772512519.0,2904555437.0,2904555437.0,2916837429.0
93,Dự phòng các khoản công nợ dài hạn,0.0,0.0,0.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,243914799443.0,243026493262.0,232794353646.0,225464963656.0,234479427285.0
96,Vốn và các quỹ,243914799443.0,243026493262.0,232794353646.0,225464963656.0,234479427285.0
97,Vốn góp,105300000000.0,105300000000.0,105300000000.0,105300000000.0,105300000000.0
98,Cổ phiếu phổ thông,105300000000.0,105300000000.0,105300000000.0,105300000000.0,105300000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,782715818.0,782715818.0,782715818.0,782715818.0,782715818.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,17258543779.0,16021691106.0,12817800506.0,12817800506.0,18728028123.0
106,Quỹ đầu tư và phát triển,57628796060.0,57628796060.0,60123450469.0,60123450469.0,60123450469.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,52475904053.0,52576844736.0,43380775374.0,36051385384.0,39203660091.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,26372730594.0,46097683556.0,35588543044.0,27334615024.0,17411620374.0
112,LNST chưa phân phối kỳ này,26103173459.0,6479161180.0,7792232330.0,8716770360.0,21792039717.0
113,Lợi ích cổ đông không kiểm soát,10468839733.0,10716445542.0,10389611479.0,10389611479.0,10341572784.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,601665931660.0,656525245948.0,664296742326.0,692046386011.0,659198044606.0
