,CHỈ TIÊU,2019,2020,2021,2022
38,Nguyên giá TSCĐ hữu hình,4270393401.0,4600260984.0,11561650828.0,14142119107.0
39,Khấu hao lũy kế TSCĐ hữu hình,-146157850.0,-749108659.0,-2967167793.0,-5032689624.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,0.0,144444443.0,1294582068.0,903115392.0
44,Nguyên giá TSCĐ vô hình,0.0,200000000.0,1824000000.0,1824000000.0
45,Khấu hao lũy kế TSCĐ vô hình,0.0,-55555557.0,-529417932.0,-920884608.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,502943894.0,2178823046.0,780588778.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,0.0,0.0,230000000000.0,230000000000.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,230000000000.0,230000000000.0
58,Tài sản dài hạn khác,11443686598.0,11102452049.0,38977028723.0,28730134948.0
59,Trả trước dài hạn,11443686598.0,11102452049.0,38134007197.0,28557254119.0
60,Thuế thu nhập hoãn lại phải thu,0.0,0.0,843021526.0,172880829.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,296507402852.0,748495237907.0,3754635512450.0,6359824509601.0
65,Nợ ngắn hạn,296507402852.0,747932539543.0,2160078822218.0,4744653741862.0
66,Phải trả người bán,147106314824.0,690488047623.0,735154849418.0,876555773143.0
67,Người mua trả tiền trước,130347722957.0,2587739065.0,59316003394.0,612513724761.0
68,Thuế và các khoản phải trả Nhà nước,2435827032.0,22692658198.0,183714846833.0,70877970523.0
69,Phải trả người lao động,3340705039.0,15850277803.0,27964639207.0,15424492268.0
70,Chi phí phải trả,13255062000.0,15716783105.0,1140500184163.0,1177044528969.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,0.0,0.0
74,Phải trả khác,21771000.0,536252882.0,942805929.0,21368810378.0
75,Vay ngắn hạn,0.0,0.0,12422794910.0,1970805743456.0
76,Dự phòng các khoản phải trả ngắn hạn,0.0,60780867.0,62698364.0,62698364.0
77,"Quỹ khen thưởng, phúc lợi",0.0,0.0,0.0,0.0
78,Quỹ bình ổn giá,0.0,0.0,0.0,0.0
79,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0
80,Nợ dài hạn,0.0,562698364.0,1594556690232.0,1615170767739.0
81,Phải trả nhà cung cấp dài hạn,0.0,0.0,0.0,0.0
82,Người mua trả tiền trước dài hạn,0.0,0.0,0.0,0.0
83,Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0
84,Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0
85,Phải trả nội bộ dài hạn,0.0,0.0,0.0,0.0
86,Doanh thu chưa thực hiên,0.0,0.0,0.0,0.0
87,Phải trả dài hạn khác,0.0,0.0,0.0,0.0
88,Vay dài hạn,0.0,500000000.0,1594556690232.0,1615170767739.0
89,Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0
91,Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0
93,Dự phòng các khoản công nợ dài hạn,0.0,62698364.0,0.0,0.0
94,Quỹ phát triển khoa học công nghệ,0.0,0.0,0.0,0.0
95,VỐN CHỦ SỞ HỮU,105377474092.0,595552430285.0,1116528596374.0,1140331509253.0
96,Vốn và các quỹ,105377474092.0,595552430285.0,1116528596374.0,1140331509253.0
97,Vốn góp,100000000000.0,500000000000.0,850000000000.0,850000000000.0
98,Cổ phiếu phổ thông,100000000000.0,500000000000.0,850000000000.0,850000000000.0
99,Cổ phiếu ưu đãi,0.0,0.0,0.0,0.0
100,Thặng dư vốn cổ phần,0.0,0.0,-149600000.0,-149600000.0
101,Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0
102,Vốn khác,0.0,0.0,0.0,0.0
103,Cổ phiếu Quỹ,0.0,0.0,0.0,0.0
104,Chênh lệch đánh giá lại tài sản,0.0,0.0,0.0,0.0
105,Chênh lệch tỷ giá,0.0,0.0,0.0,0.0
106,Quỹ đầu tư và phát triển,0.0,0.0,0.0,0.0
107,Quỹ hỗ trợ sắp xếp doanh nghiệp,0.0,0.0,0.0,0.0
109,Quỹ khác,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,5377474092.0,95552430285.0,257180048871.0,280243877469.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,5377474092.0,95552430285.0,257180048871.0
112,LNST chưa phân phối kỳ này,5377474092.0,90174956193.0,161627618586.0,23063828598.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,9498147503.0,10237231784.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,401884876944.0,1344047668192.0,4871164108824.0,7500156018854.0
