,CHỈ TIÊU,Q1 2011,Q2 2011,Q3 2011,Q1 2012
108,Quỹ dự phòng tài chính,863700000.0,863700000.0,863700000.0,1288700000.0
109,Quỹ khác,0.0,0.0,0.0,0.0
110,Lãi chưa phân phối,3110199075.0,2996849134.0,2763025790.0,5068274081.0
111,LNST chưa phân phối lũy kế đến cuối kỳ trước,0.0,0.0,0.0,0.0
112,LNST chưa phân phối kỳ này,3110199075.0,2996849134.0,2763025790.0,5068274081.0
113,Lợi ích cổ đông không kiểm soát,0.0,0.0,0.0,0.0
114,Vốn Ngân sách nhà nước và quỹ khác,0.0,0.0,0.0,0.0
115,"Quỹ khen thưởng, phúc lợi (trước 2010)",0.0,0.0,0.0,0.0
116,Vốn ngân sách nhà nước,0.0,0.0,0.0,0.0
117,Nguồn kinh phí đã hình thành TSCĐ,0.0,0.0,0.0,0.0
118,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0
119,TỔNG CỘNG NGUỒN VỐN,24038853429.0,25591211458.0,26202854419.0,32206662316.0
